q	label	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14
37	q37	0.004024270780671448	0.3695161782228645	0.0037702632234756658	0.004335064678397314	0.0073694769956021075	0.0012500853379258272	0.001435341585815463	0.39637198301828425	0.004451917180919428	0.00892907336936708	0.09157079591132722	0.006655773330533848	0.001722044716543456	0.004609399690923377	0.093988331957349
38	q38	0.08072301628003829	0.133834503189763	0.0033338672710912162	0.0038332947576135337	0.0065164835196966355	0.001105391944051043	0.0012692053716543967	0.003252750134916616	0.003936621955374663	0.00789556158359223	0.0809717681183852	0.04446765978779517	0.0015227235287161992	0.004075876366738402	0.6232612761905734
39	q39	0.001710555268556573	0.3796239716161333	0.02014904868528815	0.0018426612246824948	0.15150416187793603	0.01907782266825861	6.101058416812927E-4	0.0015635939645098063	0.020438792301408167	0.2263529305760476	0.0018301300458887738	0.15120079522320337	0.019278433572851954	0.00195926997856652	0.0028577271549873858
40	q40	0.002983016506646099	0.1768773885124391	0.035137680685494076	0.16492813901755896	0.005462672051993947	9.266337681995699E-4	0.0010639561492054275	0.0027267324777882247	0.0033000121415011326	0.0066187328590826	0.0031915415050002747	0.49007786826361266	0.0012764766822611134	0.0034167470613047785	0.10201240231791205
41	q41	0.002889559627253806	0.014687603558528797	0.002707173793324452	0.0971016863209802	0.06795083934378081	8.976026515019219E-4	0.0010306227696235703	0.03397096035126094	0.003196623898085702	0.7269934458774368	0.003091551609254219	0.004779065562992337	0.0012364851075999063	0.03463935701561179	0.004827422512764795
42	q42	0.004024270780671448	0.2822509660035005	0.0037702632234756658	0.004335064678397314	0.0073694769956021075	0.0012500853379258272	0.2632309782439072	0.0036785280311467106	0.004451917180919428	0.22709210391777684	0.0043055836919633035	0.18118619776926165	0.001722044716543456	0.004609399690923377	0.006723119737985091
43	q43	0.00579388772832863	0.5320057638037804	0.005428183890602824	0.006241348907810412	0.010610101719321944	0.0017997929298295208	0.0020665130288843063	0.005296109426915288	0.006409585668527196	0.012855508846124438	0.1318377762381591	0.009582556821855522	0.0024792898625846365	0.25791406325460015	0.009679517872675686
44	q44	0.005147199400783289	0.1935865833776311	0.004822313820898326	0.00554471692664788	0.009425848717247708	0.0015989079395960055	0.001835857911429112	0.004704980929370695	0.005694175838272485	0.7369221145929793	0.005507009594319134	0.00851299387288178	0.00220256240601076	0.00589560211530619	0.008599132556626145
45	q45	0.0024323344293975977	0.17059705466104302	0.002278808148397343	0.002620183294219554	0.004454231238402349	7.555718222854757E-4	0.15910106604701119	0.05496786936206141	0.08180757201328724	0.0053968765430106175	0.002602364508599943	0.5050956779554786	0.001040831713692986	0.0027859958184068626	0.004063562444705876
46	q46	0.004024270780671448	0.10772054156477275	0.0037702632234756658	0.04796767078807926	0.6182259625311495	0.13214790366697168	0.001435341585815463	0.0036785280311467106	0.004451917180919428	0.00892907336936708	0.0043055836919633035	0.006655773330533848	0.001722044716543456	0.04824200580060533	0.006723119737985091
